locus_tag	gene_symbol	product	type
EQU24_RS11095		PAS domain S-box protein	CDS
EQU24_RS11100		protein kinase	CDS
EQU24_RS11105		serine/threonine protein kinase	CDS
EQU24_RS11110		hypothetical protein	CDS
EQU24_RS11115		transposase	CDS
EQU24_RS11120		TIGR02270 family protein	CDS
EQU24_RS11125		Uma2 family endonuclease	CDS
EQU24_RS11135		hypothetical protein	CDS
EQU24_RS11140		DUF4150 domain-containing protein	CDS
EQU24_RS11145		3-oxoacyl-ACP synthase	CDS
EQU24_RS11150		hypothetical protein	CDS
EQU24_RS11155		hypothetical protein	CDS
EQU24_RS11160		DUF2169 domain-containing protein	CDS
EQU24_RS11165		DUF6484 domain-containing protein	CDS
EQU24_RS11175	vgrG	type VI secretion system tip protein VgrG	CDS
EQU24_RS11180		PAAR domain-containing protein	CDS
EQU24_RS11185		hypothetical protein	CDS
EQU24_RS11190	vgrG	type VI secretion system tip protein VgrG	CDS
EQU24_RS11195		hypothetical protein	CDS
EQU24_RS11200		hypothetical protein	CDS
EQU24_RS11205	tssH	type VI secretion system ATPase TssH	CDS
EQU24_RS11210	tssG	type VI secretion system baseplate subunit TssG	CDS
EQU24_RS11215	tssF	type VI secretion system baseplate subunit TssF	CDS
EQU24_RS11220	tssE	type VI secretion system baseplate subunit TssE	CDS
EQU24_RS11225		virulence protein SciE type	CDS
EQU24_RS11235		type VI secretion system tube protein Hcp	CDS
EQU24_RS11240	tssC	type VI secretion system contractile sheath large subunit	CDS
EQU24_RS11245	tssB	type VI secretion system contractile sheath small subunit	CDS
EQU24_RS11250	tssA	type VI secretion system protein TssA	CDS
EQU24_RS11255	tagF	type VI secretion system-associated protein TagF	CDS
EQU24_RS11260	tssM	type VI secretion system membrane subunit TssM	CDS
EQU24_RS11265		hypothetical protein	CDS
EQU24_RS11270	icmH	type IVB secretion system protein IcmH/DotU	CDS
EQU24_RS11275	tssK	type VI secretion system baseplate subunit TssK	CDS
EQU24_RS11280	tagH	type VI secretion system-associated FHA domain protein TagH	CDS
EQU24_RS11285		SIMPL domain-containing protein	CDS
EQU24_RS11290		DUF2490 domain-containing protein	CDS
EQU24_RS11295		L,D-transpeptidase family protein	CDS
EQU24_RS11300		serine hydrolase	CDS
EQU24_RS11305		hypothetical protein	CDS
EQU24_RS11310		type III pantothenate kinase	CDS
EQU24_RS11315	birA	bifunctional biotin--[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA	CDS
EQU24_RS11320		PilZ domain-containing protein	CDS
EQU24_RS11325		flagellar motor protein MotB	CDS
EQU24_RS11330		MotA/TolQ/ExbB proton channel family protein	CDS
EQU24_RS11335	ssb	single-stranded DNA-binding protein	CDS
EQU24_RS11340		MFS transporter	CDS
EQU24_RS11345	hxlA	3-hexulose-6-phosphate synthase	CDS
EQU24_RS11350		hypothetical protein	CDS
EQU24_RS11355		proline--tRNA ligase	CDS
EQU24_RS11360		EAL domain-containing protein	CDS
EQU24_RS11370		cytochrome c	CDS
EQU24_RS11375		ATP-binding protein	CDS
EQU24_RS11380		IS66 family transposase	CDS
EQU24_RS11390		YihY family inner membrane protein	CDS
EQU24_RS11395		PilZ domain-containing protein	CDS
EQU24_RS11400		nucleotidyltransferase family protein	CDS
EQU24_RS11405		HprK-related kinase A	CDS
EQU24_RS11410		hypothetical protein	CDS
EQU24_RS11415		amidotransferase 1, exosortase A system-associated	CDS
EQU24_RS11420		TIGR03088 family PEP-CTERM/XrtA system glycosyltransferase	CDS
EQU24_RS11425		four helix bundle protein	CDS
EQU24_RS11430		NAD-dependent epimerase	CDS
EQU24_RS11435	tviB	Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB	CDS
EQU24_RS11440		membrane protein	CDS
EQU24_RS11445		NUDIX domain-containing protein	CDS
EQU24_RS11450		PQQ-dependent sugar dehydrogenase	CDS
EQU24_RS11455	htpX	protease HtpX	CDS
EQU24_RS11460		DUF2835 domain-containing protein	CDS
EQU24_RS11465		formate dehydrogenase accessory sulfurtransferase FdhD	CDS
EQU24_RS11470	mobA	molybdenum cofactor guanylyltransferase	CDS
EQU24_RS11475		DUF302 domain-containing protein	CDS
EQU24_RS11480		hypothetical protein	CDS
EQU24_RS11485		Uma2 family endonuclease	CDS
EQU24_RS11490		quinoprotein dehydrogenase-associated SoxYZ-like carrier	CDS
EQU24_RS11500		quinoprotein relay system zinc metallohydrolase 2	CDS
EQU24_RS11510		LysR family transcriptional regulator	CDS
EQU24_RS11515		NAD(P)H-dependent oxidoreductase subunit E	CDS
EQU24_RS11520	fdhF	formate dehydrogenase subunit alpha	CDS
EQU24_RS11525		hypothetical protein	CDS
EQU24_RS11535	dapB	4-hydroxy-tetrahydrodipicolinate reductase	CDS
EQU24_RS11540	dnaJ	molecular chaperone DnaJ	CDS
EQU24_RS11545	dnaK	molecular chaperone DnaK	CDS
EQU24_RS11550	grpE	nucleotide exchange factor GrpE	CDS
EQU24_RS11555	hrcA	heat-inducible transcriptional repressor HrcA	CDS
EQU24_RS11560		NAD(+) kinase	CDS
EQU24_RS11565	recN	DNA repair protein RecN	CDS
EQU24_RS11570		agmatine deiminase family protein	CDS
EQU24_RS11575		carbon-nitrogen hydrolase	CDS
EQU24_RS11580		mechanosensitive ion channel	CDS
EQU24_RS11585		hypothetical protein	CDS
EQU24_RS11590		NnrS family protein	CDS
EQU24_RS11595		ferritin-like domain-containing protein	CDS
EQU24_RS11600		VanZ family protein	CDS
EQU24_RS11605		GNAT family acetyltransferase	CDS
EQU24_RS11610		carbon-nitrogen hydrolase family protein	CDS
EQU24_RS11625		peptidoglycan DD-metalloendopeptidase family protein	CDS
EQU24_RS11630		DnaJ domain-containing protein	CDS
EQU24_RS11635	mobB	molybdopterin-guanine dinucleotide biosynthesis protein B	CDS
EQU24_RS11640		molybdopterin molybdotransferase MoeA	CDS
EQU24_RS11645		rhodanese-like domain-containing protein	CDS
EQU24_RS11650		H-NS histone family protein	CDS
EQU24_RS11655		DUF2914 domain-containing protein	CDS
EQU24_RS11660		2-oxoglutarate dehydrogenase E1 component	CDS
EQU24_RS11665	odhB	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase	CDS
EQU24_RS11670	lpdA	dihydrolipoyl dehydrogenase	CDS
EQU24_RS11675		hypothetical protein	CDS
EQU24_RS11680		NAD-dependent succinate-semialdehyde dehydrogenase	CDS
EQU24_RS11685		phospholipase D-like domain-containing protein	CDS
EQU24_RS11690		hypothetical protein	CDS
EQU24_RS11695		hypothetical protein	CDS
EQU24_RS11700		Txe/YoeB family addiction module toxin	CDS
EQU24_RS11705		type II toxin-antitoxin system Phd/YefM family antitoxin	CDS
EQU24_RS11710		IMPACT family protein	CDS
EQU24_RS11715		hypothetical protein	CDS
EQU24_RS11720	ylqF	ribosome biogenesis GTPase YlqF	CDS
EQU24_RS11725		DUF2272 domain-containing protein	CDS
EQU24_RS11730	miaA	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA	CDS
EQU24_RS11735	mutL	DNA mismatch repair endonuclease MutL	CDS
EQU24_RS11740		N-acetylmuramoyl-L-alanine amidase	CDS
EQU24_RS11750	tsaE	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	CDS
EQU24_RS11755		bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase	CDS
EQU24_RS11760		HD domain-containing protein	CDS
EQU24_RS11765	recJ	single-stranded-DNA-specific exonuclease RecJ	CDS
EQU24_RS11770	thrC	threonine synthase	CDS
EQU24_RS11775		homoserine dehydrogenase	CDS
EQU24_RS11780	alaC	alanine transaminase	CDS
EQU24_RS11785	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	CDS
EQU24_RS11790		Trm112 family protein	CDS
EQU24_RS11795	lpxK	tetraacyldisaccharide 4'-kinase	CDS
EQU24_RS11800		biopolymer transporter ExbD	CDS
EQU24_RS11805		MotA/TolQ/ExbB proton channel family protein	CDS
EQU24_RS11810		MFS transporter	CDS
EQU24_RS11815	aroC	chorismate synthase	CDS
EQU24_RS11820	prmB	50S ribosomal protein L3 N(5)-glutamine methyltransferase	CDS
EQU24_RS11825		HDOD domain-containing protein	CDS
EQU24_RS11830		MFS transporter	CDS
EQU24_RS11835		biopolymer transporter ExbD	CDS
EQU24_RS11840		MotA/TolQ/ExbB proton channel family protein	CDS
EQU24_RS11845		energy transducer TonB	CDS
EQU24_RS11850		hypothetical protein	CDS
EQU24_RS11855		efflux RND transporter permease subunit	CDS
EQU24_RS11860		efflux RND transporter periplasmic adaptor subunit	CDS
EQU24_RS11865		efflux transporter outer membrane subunit	CDS
EQU24_RS11870		PepSY domain-containing protein	CDS
EQU24_RS11875		FecR family protein	CDS
EQU24_RS11880		penicillin acylase family protein	CDS
EQU24_RS11885		cyclic peptide export ABC transporter	CDS
EQU24_RS11895		RNA polymerase sigma factor	CDS
EQU24_RS11900		reverse transcriptase domain-containing protein	CDS
EQU24_RS11905		MbtH family NRPS accessory protein	CDS
EQU24_RS11920		transcriptional regulator	CDS
EQU24_RS11925		DUF6516 family protein	CDS
EQU24_RS11930		DUF4351 domain-containing protein	CDS
EQU24_RS11935		4'-phosphopantetheinyl transferase superfamily protein	CDS
EQU24_RS11940		cupin-like domain-containing protein	CDS
EQU24_RS11955		sulfotransferase	CDS
EQU24_RS11960		TonB-dependent receptor	CDS
EQU24_RS11965		non-ribosomal peptide synthetase	CDS
EQU24_RS11970		condensation domain-containing protein	CDS
EQU24_RS11985		condensation domain-containing protein	CDS
EQU24_RS11990		IS1595 family transposase	CDS
EQU24_RS11995		IS4 family transposase	CDS
EQU24_RS12000		CbtB-domain containing protein	CDS
EQU24_RS12005		CbtA family protein	CDS
EQU24_RS12010		cobyrinate a,c-diamide synthase	CDS
EQU24_RS12015	cobM	precorrin-4 C(11)-methyltransferase	CDS
EQU24_RS12020		sirohydrochlorin chelatase	CDS
EQU24_RS12025		precorrin-8X methylmutase	CDS
EQU24_RS12030		cobalt-precorrin-5B (C(1))-methyltransferase	CDS
EQU24_RS12035		bifunctional cobalt-precorrin-7 (C(5))-methyltransferase/cobalt-precorrin-6B (C(15))-methyltransferase	CDS
EQU24_RS12040	cobI	precorrin-2 C(20)-methyltransferase	CDS
EQU24_RS12045		cobalamin biosynthesis protein CbiG	CDS
EQU24_RS12050		cobalamin biosynthesis protein	CDS
EQU24_RS12055	cobJ	precorrin-3B C(17)-methyltransferase	CDS
EQU24_RS12060		ferredoxin	CDS
EQU24_RS12065	cysG	siroheme synthase CysG	CDS
EQU24_RS12070		response regulator	CDS
EQU24_RS12075		2-isopropylmalate synthase	CDS
EQU24_RS12080	leuB	3-isopropylmalate dehydrogenase	CDS
EQU24_RS12085		hypothetical protein	CDS
EQU24_RS12090		hypothetical protein	CDS
EQU24_RS12095		cytochrome c	CDS
EQU24_RS12100		hypothetical protein	CDS
EQU24_RS12105		argininosuccinate synthase	CDS
EQU24_RS12110		GIY-YIG nuclease family protein	CDS
EQU24_RS12115		ASCH domain-containing protein	CDS
EQU24_RS12120		hypothetical protein	CDS
EQU24_RS12125	cas2	CRISPR-associated endonuclease Cas2	CDS
EQU24_RS12130		CRISPR-associated endonuclease Cas1	CDS
EQU24_RS12135	cas1	CRISPR-associated endonuclease Cas1	CDS
EQU24_RS12140	cas2	CRISPR-associated endonuclease Cas2	CDS
EQU24_RS12145		hypothetical protein	CDS
EQU24_RS12150		DUF1887 family CARF protein	CDS
EQU24_RS12155		CRISPR-associated ring nuclease	CDS
EQU24_RS12160		TIGR02710 family CRISPR-associated CARF protein	CDS
EQU24_RS12165		RAMP superfamily CRISPR-associated protein	CDS
EQU24_RS12170		hypothetical protein	CDS
EQU24_RS12175	csm3	type III-A CRISPR-associated RAMP protein Csm3	CDS
EQU24_RS12180	csm2	type III-A CRISPR-associated protein Csm2	CDS
EQU24_RS12185		transposase	CDS
EQU24_RS12195	cas10	type III-A CRISPR-associated protein Cas10/Csm1	CDS
EQU24_RS12200	csm6	CRISPR-associated ring nuclease Csm6	CDS
EQU24_RS12205	cas6	CRISPR system precrRNA processing endoribonuclease RAMP protein Cas6	CDS
EQU24_RS12210		hypothetical protein	CDS
EQU24_RS12215		heme-binding domain-containing protein	CDS
EQU24_RS12220		transposase	CDS
EQU24_RS12225		integron integrase	CDS
EQU24_RS12230		M15 family metallopeptidase	CDS
EQU24_RS12235		Hsp20/alpha crystallin family protein	CDS
EQU24_RS12240	purL	phosphoribosylformylglycinamidine synthase	CDS
EQU24_RS12245	bamC	outer membrane protein assembly factor BamC	CDS
EQU24_RS12250	dapA	4-hydroxy-tetrahydrodipicolinate synthase	CDS
EQU24_RS12255		dicarboxylate/amino acid:cation symporter	CDS
EQU24_RS12260		(5-formylfuran-3-yl)methyl phosphate synthase	CDS
EQU24_RS12265		DUF447 family protein	CDS
EQU24_RS12270		DUF6513 domain-containing protein	CDS
EQU24_RS12275		flavoprotein	CDS
EQU24_RS12280	folP	dihydropteroate synthase	CDS
EQU24_RS12285	ppk1	polyphosphate kinase 1	CDS
EQU24_RS12290		methyltransferase domain-containing protein	CDS
EQU24_RS12295		pyridoxal-phosphate dependent enzyme	CDS
EQU24_RS12300		SOS response-associated peptidase	CDS
EQU24_RS12310		cell division protein ZipA C-terminal FtsZ-binding domain-containing protein	CDS
EQU24_RS12315	smc	chromosome segregation protein SMC	CDS
EQU24_RS12320	queF	preQ(1) synthase	CDS
EQU24_RS12325		EscU/YscU/HrcU family type III secretion system export apparatus switch protein	CDS
EQU24_RS12330	asd	archaetidylserine decarboxylase	CDS
EQU24_RS12335		DASS family sodium-coupled anion symporter	CDS
EQU24_RS12345		ABC transporter permease subunit	CDS
EQU24_RS12350		GldG family protein	CDS
EQU24_RS12355	mutM	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase	CDS
EQU24_RS12360		MMPL family transporter	CDS
EQU24_RS12365		helix-turn-helix domain-containing protein	CDS
EQU24_RS12370		PEP-CTERM sorting domain-containing protein	CDS
EQU24_RS12375		DUF1702 family protein	CDS
EQU24_RS12380		CRTAC1 family protein	CDS
EQU24_RS12385		RnfABCDGE type electron transport complex subunit D	CDS
EQU24_RS12390		type I polyketide synthase	CDS
EQU24_RS12395		acyl-CoA thioesterase	CDS
EQU24_RS12400		TRAP transporter TatT component family protein	CDS
EQU24_RS12405	dctP	TRAP transporter substrate-binding protein DctP	CDS
EQU24_RS12410		TRAP transporter small permease	CDS
EQU24_RS12415		TRAP transporter large permease subunit	CDS
EQU24_RS12420		DUF3422 domain-containing protein	CDS
EQU24_RS12425		MbcA/ParS/Xre antitoxin family protein	CDS
EQU24_RS12430		RES family NAD+ phosphorylase	CDS
EQU24_RS12435		YgiT-type zinc finger protein	CDS
EQU24_RS12440	mfd	transcription-repair coupling factor	CDS
EQU24_RS12445	treZ	malto-oligosyltrehalose trehalohydrolase	CDS
EQU24_RS12450		VOC family protein	CDS
EQU24_RS12455	queA	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	CDS
EQU24_RS12460			tRNA
EQU24_RS12470		helix-turn-helix domain-containing protein	CDS
EQU24_RS12475		type II toxin-antitoxin system HipA family toxin	CDS
EQU24_RS12480		hypothetical protein	CDS
EQU24_RS12485		HsdR family type I site-specific deoxyribonuclease	CDS
EQU24_RS12490		restriction endonuclease subunit S	CDS
EQU24_RS12495		type I restriction-modification system subunit M	CDS
EQU24_RS12500		type I restriction-modification system subunit M	CDS
EQU24_RS12510		DUF3368 domain-containing protein	CDS
EQU24_RS12515		UPF0175 family protein	CDS
EQU24_RS12520		hypothetical protein	CDS
EQU24_RS12525			tmRNA
EQU24_RS12535		50S ribosome-binding GTPase	CDS
EQU24_RS12540		50S ribosome-binding GTPase	CDS
EQU24_RS12545		hypothetical protein	CDS
EQU24_RS12550		DUF2959 domain-containing protein	CDS
EQU24_RS12555		uridylate kinase	CDS
EQU24_RS12560	pabB	aminodeoxychorismate synthase component I	CDS
EQU24_RS12565	truA	tRNA pseudouridine(38-40) synthase TruA	CDS
EQU24_RS12570		L,D-transpeptidase	CDS
EQU24_RS12575		plasmid pRiA4b ORF-3 family protein	CDS
EQU24_RS12580	rlmD	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	CDS
EQU24_RS12585		YdbL family protein	CDS
EQU24_RS12590		hypothetical protein	CDS
EQU24_RS12595	cysM	cysteine synthase CysM	CDS
EQU24_RS12605		PhnD/SsuA/transferrin family substrate-binding protein	CDS
EQU24_RS12610		EAL domain-containing protein	CDS
EQU24_RS12615		GGDEF domain-containing protein	CDS
EQU24_RS12620		ABC transporter substrate-binding protein	CDS
EQU24_RS12625		ABC transporter permease	CDS
EQU24_RS12630		nitrate ABC transporter ATP-binding protein	CDS
EQU24_RS12635		alginate export family protein	CDS
EQU24_RS12640		FAD-dependent oxidoreductase	CDS
EQU24_RS12645		nitrate reductase	CDS
EQU24_RS12650		ribonuclease T(1)	CDS
EQU24_RS12655		barstar family protein	CDS
EQU24_RS12660	uvrD	DNA helicase II	CDS
EQU24_RS12665		DUF2892 domain-containing protein	CDS
EQU24_RS12670		FxsA family protein	CDS
EQU24_RS12675		divalent-cation tolerance protein CutA	CDS
EQU24_RS12680		protein-disulfide reductase DsbD	CDS
EQU24_RS12685		TlpA family protein disulfide reductase	CDS
EQU24_RS12690	aroQ	type II 3-dehydroquinate dehydratase	CDS
EQU24_RS12695	accB	acetyl-CoA carboxylase biotin carboxyl carrier protein	CDS
EQU24_RS12700	accC	acetyl-CoA carboxylase biotin carboxylase subunit	CDS
EQU24_RS12705	prmA	50S ribosomal protein L11 methyltransferase	CDS
EQU24_RS12710		zinc-ribbon and DUF3426 domain-containing protein	CDS
EQU24_RS12715		class I SAM-dependent rRNA methyltransferase	CDS
EQU24_RS12720		hypothetical protein	CDS
EQU24_RS12725		hypothetical protein	CDS
EQU24_RS12730	dusB	tRNA dihydrouridine synthase DusB	CDS
EQU24_RS12735		Fis family transcriptional regulator	CDS
EQU24_RS12740	purH	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	CDS
EQU24_RS12750	purD	phosphoribosylamine--glycine ligase	CDS
EQU24_RS12755		Uma2 family endonuclease	CDS
EQU24_RS12760	phoU	phosphate signaling complex protein PhoU	CDS
EQU24_RS12765	pstB	phosphate ABC transporter ATP-binding protein PstB	CDS
EQU24_RS12770	pstA	phosphate ABC transporter permease PstA	CDS
EQU24_RS12775		ABC transporter permease subunit	CDS
EQU24_RS12780		phosphate ABC transporter substrate-binding protein PstS family protein	CDS
EQU24_RS12790		histidine phosphatase family protein	CDS
EQU24_RS12795		CHAD domain-containing protein	CDS
EQU24_RS12800		ParA family protein	CDS
EQU24_RS12805		IS4 family transposase	CDS
EQU24_RS12810	ltrA	group II intron reverse transcriptase/maturase	CDS
EQU24_RS12815		cytosolic protein	CDS
EQU24_RS12820		type II toxin-antitoxin system HicA family toxin	CDS
EQU24_RS12825		type II toxin-antitoxin system HicB family antitoxin	CDS
EQU24_RS12835		GspH/FimT family pseudopilin	CDS
EQU24_RS12840		GspH/FimT family protein	CDS
EQU24_RS12845		hypothetical protein	CDS
EQU24_RS12850		hypothetical protein	CDS
EQU24_RS12855		hypothetical protein	CDS
EQU24_RS12860		hypothetical protein	CDS
EQU24_RS12865		M23 family metallopeptidase	CDS
EQU24_RS12870		nucleotidyltransferase domain-containing protein	CDS
EQU24_RS12875		HEPN domain-containing protein	CDS
EQU24_RS12880		DUF5765 domain-containing protein	CDS
EQU24_RS12885		lytic transglycosylase domain-containing protein	CDS
EQU24_RS12890		TRAP transporter small permease subunit	CDS
EQU24_RS12895		TRAP transporter large permease subunit	CDS
EQU24_RS12900		lipoprotein	CDS
EQU24_RS12905	lysA	diaminopimelate decarboxylase	CDS
EQU24_RS12910	dapF	diaminopimelate epimerase	CDS
EQU24_RS12915		DUF484 family protein	CDS
EQU24_RS12920	xerC	tyrosine recombinase XerC	CDS
EQU24_RS12925		DUF2333 family protein	CDS
EQU24_RS12930		DUF4389 domain-containing protein	CDS
EQU24_RS12935	dinB	DNA polymerase IV	CDS
EQU24_RS12940		DUF615 domain-containing protein	CDS
EQU24_RS12945		hypothetical protein	CDS
EQU24_RS12950		DNA-deoxyinosine glycosylase	CDS
EQU24_RS12955	rdgC	recombination-associated protein RdgC	CDS
EQU24_RS12960		L,D-transpeptidase family protein	CDS
EQU24_RS12965		Lpp/OprI family alanine-zipper lipoprotein	CDS
EQU24_RS12970		L,D-transpeptidase	CDS
EQU24_RS12975		alpha-D-glucose phosphate-specific phosphoglucomutase	CDS
EQU24_RS12980		ZIP family metal transporter	CDS
EQU24_RS12985	pgeF	peptidoglycan editing factor PgeF	CDS
EQU24_RS12990	rluD	23S rRNA pseudouridine(1911/1915/1917) synthase RluD	CDS
EQU24_RS12995		outer membrane protein assembly factor BamD	CDS
EQU24_RS13000		L-serine ammonia-lyase	CDS
EQU24_RS13005		D-alanyl-D-alanine carboxypeptidase	CDS
EQU24_RS13010		L,D-transpeptidase family protein	CDS
EQU24_RS13020		DsbA family protein	CDS
EQU24_RS13025		class I SAM-dependent methyltransferase	CDS
EQU24_RS13035	mtgA	monofunctional biosynthetic peptidoglycan transglycosylase	CDS
EQU24_RS13045		ISNCY family transposase	CDS
EQU24_RS13050		DUF1353 domain-containing protein	CDS
EQU24_RS13060	def	peptide deformylase	CDS
EQU24_RS13065		LysR family transcriptional regulator	CDS
EQU24_RS13070		EthD family reductase	CDS
EQU24_RS13075		hypothetical protein	CDS
EQU24_RS13080		poly(3-hydroxybutyrate) depolymerase	CDS
EQU24_RS13085		MBL fold metallo-hydrolase	CDS
EQU24_RS13090		type II toxin-antitoxin system PemK/MazF family toxin	CDS
EQU24_RS13095		DUF5615 family PIN-like protein	CDS
EQU24_RS13100		DUF433 domain-containing protein	CDS
EQU24_RS13110		glutathione S-transferase family protein	CDS
EQU24_RS13120	cysZ	sulfate transporter CysZ	CDS
EQU24_RS13125	mtnA	S-methyl-5-thioribose-1-phosphate isomerase	CDS
EQU24_RS13130		TRZ/ATZ family hydrolase	CDS
EQU24_RS13135	ubiG	bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG	CDS
EQU24_RS13140		HAD-IA family hydrolase	CDS
EQU24_RS13145		SDR family NAD(P)-dependent oxidoreductase	CDS
EQU24_RS13150	sufT	putative Fe-S cluster assembly protein SufT	CDS
EQU24_RS13160		cation:proton antiporter	CDS
EQU24_RS13165		YncE family protein	CDS
EQU24_RS13170		SRPBCC family protein	CDS
EQU24_RS13175		O-succinylhomoserine sulfhydrylase	CDS
EQU24_RS13180	purF	amidophosphoribosyltransferase	CDS
EQU24_RS13185		CvpA family protein	CDS
EQU24_RS13190		SPOR domain-containing protein	CDS
EQU24_RS13195	folC	bifunctional tetrahydrofolate synthase/dihydrofolate synthase	CDS
EQU24_RS13205	trpA	tryptophan synthase subunit alpha	CDS
EQU24_RS13210	trpB	tryptophan synthase subunit beta	CDS
EQU24_RS13215		phosphoribosylanthranilate isomerase	CDS
EQU24_RS13225		DUF2231 domain-containing protein	CDS
EQU24_RS13230	uvrA	excinuclease ABC subunit UvrA	CDS
EQU24_RS13235		hypothetical protein	CDS
EQU24_RS13240		rhomboid family intramembrane serine protease	CDS
EQU24_RS13245		hypothetical protein	CDS
EQU24_RS13250		DEAD/DEAH box helicase	CDS
EQU24_RS13260		ferredoxin	CDS
EQU24_RS13265	rpiA	ribose-5-phosphate isomerase RpiA	CDS
EQU24_RS13270		DedA family protein	CDS
EQU24_RS13275		protein-L-isoaspartate(D-aspartate) O-methyltransferase	CDS
EQU24_RS13280	surE	5'/3'-nucleotidase SurE	CDS
EQU24_RS13285		Smr/MutS family protein	CDS
EQU24_RS13290		undecaprenyl-diphosphate phosphatase	CDS
EQU24_RS13295	truD	tRNA pseudouridine(13) synthase TruD	CDS
EQU24_RS13300	ispF	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	CDS
EQU24_RS13305	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	CDS
EQU24_RS13310	ftsB	cell division protein FtsB	CDS
EQU24_RS13315	eno	phosphopyruvate hydratase	CDS
EQU24_RS13320	kdsA	3-deoxy-8-phosphooctulonate synthase	CDS
EQU24_RS13325		CTP synthase	CDS
EQU24_RS13330	tilS	tRNA lysidine(34) synthetase TilS	CDS
EQU24_RS13335		hypothetical protein	CDS
EQU24_RS13340		radical SAM protein	CDS
EQU24_RS13345	fae	formaldehyde-activating enzyme	CDS
EQU24_RS13350		response regulator	CDS
EQU24_RS13355		c-type cytochrome	CDS
EQU24_RS13360	soxC	sulfite dehydrogenase	CDS
EQU24_RS13365		YeeE/YedE family protein	CDS
EQU24_RS13370		YeeE/YedE family protein	CDS
EQU24_RS13375		DegQ family serine endoprotease	CDS
EQU24_RS13380	bioA	adenosylmethionine--8-amino-7-oxononanoate transaminase	CDS
EQU24_RS13385		EAL domain-containing protein	CDS
EQU24_RS13390		ATP-binding protein	CDS
EQU24_RS13395		DUF1638 domain-containing protein	CDS
EQU24_RS13400		uroporphyrinogen decarboxylase	CDS
EQU24_RS13405		cobalamin-dependent protein	CDS
EQU24_RS13410		ASKHA domain-containing protein	CDS
EQU24_RS13415		response regulator	CDS
EQU24_RS13425		septal ring lytic transglycosylase RlpA family protein	CDS
EQU24_RS13430		mechanosensitive ion channel	CDS
EQU24_RS13435	ade	adenine deaminase	CDS
EQU24_RS13440		FAD binding domain-containing protein	CDS
EQU24_RS13445		molybdopterin-dependent oxidoreductase	CDS
EQU24_RS13450		hypothetical protein	CDS
EQU24_RS13455		hypothetical protein	CDS
EQU24_RS13460		XdhC/CoxI family protein	CDS
EQU24_RS13465		ferredoxin reductase family protein	CDS
EQU24_RS13470		CNNM domain-containing protein	CDS
EQU24_RS13475		ATP-binding protein	CDS
EQU24_RS13480		response regulator transcription factor	CDS
EQU24_RS13485		hypothetical protein	CDS
EQU24_RS13490		glucose 1-dehydrogenase	CDS
EQU24_RS13495		GGDEF domain-containing phosphodiesterase	CDS
EQU24_RS13500		hypothetical protein	CDS
EQU24_RS13505		AAA family ATPase	CDS
EQU24_RS13510		plasmid stabilization protein	CDS
EQU24_RS13515		CopG family antitoxin	CDS
EQU24_RS13520		BrnT family toxin	CDS
EQU24_RS13525		SMP-30/gluconolactonase/LRE family protein	CDS
EQU24_RS13530		gluconokinase	CDS
EQU24_RS13535		alpha-amylase family glycosyl hydrolase	CDS
EQU24_RS13540		glucosidase	CDS
EQU24_RS13545		mechanosensitive ion channel	CDS
EQU24_RS13550		endonuclease/exonuclease/phosphatase family protein	CDS
EQU24_RS13555		VTT domain-containing protein	CDS
EQU24_RS13560		hypothetical protein	CDS
EQU24_RS13565		hypothetical protein	CDS
EQU24_RS13570		mechanosensitive ion channel	CDS
EQU24_RS13575		DUF389 domain-containing protein	CDS
EQU24_RS13580		MMPL family transporter	CDS
EQU24_RS13585		OmpA family protein	CDS
EQU24_RS13590		phosphate-starvation-inducible PsiE family protein	CDS
EQU24_RS13595		cupin domain-containing protein	CDS
EQU24_RS13600		FAD-binding protein	CDS
EQU24_RS13605	glcE	glycolate oxidase subunit GlcE	CDS
EQU24_RS13610	glcF	glycolate oxidase subunit GlcF	CDS
EQU24_RS13615		BLUF domain-containing protein	CDS
EQU24_RS13625		isoprenylcysteine carboxylmethyltransferase family protein	CDS
EQU24_RS13630		fused MFS/spermidine synthase	CDS
EQU24_RS13635		hypothetical protein	CDS
EQU24_RS13640		hypothetical protein	CDS
EQU24_RS13645	phoU	phosphate signaling complex protein PhoU	CDS
EQU24_RS13655	pstA	phosphate ABC transporter permease PstA	CDS
